"date","Tair","SW","year","month","day","hour"
2012-01-01 00:00:00,29.32738,-1.258205,2012,1,1,0
2012-01-01 00:30:00,29.2147,-1.582905,2012,1,1,0
2012-01-01 01:00:00,28.61204,-1.749065,2012,1,1,1
2012-01-01 01:30:00,28.22849,-0.9640902,2012,1,1,1
2012-01-01 02:00:00,28.82117,-0.9183426,2012,1,1,2
2012-01-01 02:30:00,28.58372,-0.9564942,2012,1,1,2
2012-01-01 03:00:00,28.25012,-1.414476,2012,1,1,3
2012-01-01 03:30:00,27.87317,-1.553266,2012,1,1,3
2012-01-01 04:00:00,27.53531,-1.519999,2012,1,1,4
2012-01-01 04:30:00,27.19755,-1.527068,2012,1,1,4
2012-01-01 05:00:00,26.82826,-1.553142,2012,1,1,5
2012-01-01 05:30:00,26.69918,-1.266723,2012,1,1,5
2012-01-01 06:00:00,26.34788,-1.313897,2012,1,1,6
2012-01-01 06:30:00,25.94122,9.997218,2012,1,1,6
2012-01-01 07:00:00,26.17126,56.06565,2012,1,1,7
2012-01-01 07:30:00,26.84089,142.449,2012,1,1,7
2012-01-01 08:00:00,27.80688,271.5908,2012,1,1,8
2012-01-01 08:30:00,28.54039,392.2688,2012,1,1,8
2012-01-01 09:00:00,29.36744,509.1352,2012,1,1,9
2012-01-01 09:30:00,30.19642,637.9139,2012,1,1,9
2012-01-01 10:00:00,30.73444,753.1191,2012,1,1,10
2012-01-01 10:30:00,31.37007,849.6096,2012,1,1,10
2012-01-01 11:00:00,32.06606,923.8323,2012,1,1,11
2012-01-01 11:30:00,32.84265,971.7481,2012,1,1,11
2012-01-01 12:00:00,33.1587,1030.615,2012,1,1,12
2012-01-01 12:30:00,33.65385,935.4893,2012,1,1,12
2012-01-01 13:00:00,34.48129,1027.554,2012,1,1,13
2012-01-01 13:30:00,34.55501,858.3596,2012,1,1,13
2012-01-01 14:00:00,35.02581,707.0826,2012,1,1,14
2012-01-01 14:30:00,35.18961,747.3874,2012,1,1,14
2012-01-01 15:00:00,34.28346,660.3012,2012,1,1,15
2012-01-01 15:30:00,35.31026,958.6003,2012,1,1,15
2012-01-01 16:00:00,35.28239,806.2264,2012,1,1,16
2012-01-01 16:30:00,34.93134,656.8735,2012,1,1,16
2012-01-01 17:00:00,34.10525,176.4994,2012,1,1,17
2012-01-01 17:30:00,33.52553,179.6695,2012,1,1,17
2012-01-01 18:00:00,32.48586,78.62644,2012,1,1,18
2012-01-01 18:30:00,27.79169,7.272372,2012,1,1,18
2012-01-01 19:00:00,24.46082,12.27991,2012,1,1,19
2012-01-01 19:30:00,25.18811,6.329822,2012,1,1,19
2012-01-01 20:00:00,24.69799,1.99956,2012,1,1,20
2012-01-01 20:30:00,24.99277,2.010372,2012,1,1,20
2012-01-01 21:00:00,26.00146,1.747203,2012,1,1,21
2012-01-01 21:30:00,25.7529,-0.6853558,2012,1,1,21
2012-01-01 22:00:00,25.24863,-0.698258,2012,1,1,22
2012-01-01 22:30:00,25.03419,-0.1905214,2012,1,1,22
2012-01-01 23:00:00,25.09696,-0.9661983,2012,1,1,23
2012-01-01 23:30:00,24.94391,-1.102411,2012,1,1,23
2012-01-02 00:00:00,24.89961,-0.2879715,2012,1,2,0
2012-01-02 00:30:00,25.07463,-0.2450148,2012,1,2,0
2012-01-02 01:00:00,25.28196,-0.2280702,2012,1,2,1
2012-01-02 01:30:00,25.37928,-1.086181,2012,1,2,1
2012-01-02 02:00:00,25.10452,-0.8554446,2012,1,2,2
2012-01-02 02:30:00,24.9735,-0.7859328,2012,1,2,2
2012-01-02 03:00:00,25.01519,-0.8724536,2012,1,2,3
2012-01-02 03:30:00,24.96841,-2.223897,2012,1,2,3
2012-01-02 04:00:00,24.77175,-2.628164,2012,1,2,4
2012-01-02 04:30:00,24.5751,-1.673403,2012,1,2,4
2012-01-02 05:00:00,24.30414,-1.34218,2012,1,2,5
2012-01-02 05:30:00,24.25706,-1.466105,2012,1,2,5
2012-01-02 06:00:00,23.94615,-1.253925,2012,1,2,6
2012-01-02 06:30:00,23.87809,6.65367,2012,1,2,6
2012-01-02 07:00:00,24.52834,64.92708,2012,1,2,7
2012-01-02 07:30:00,25.75891,170.4024,2012,1,2,7
2012-01-02 08:00:00,26.68723,297.5331,2012,1,2,8
2012-01-02 08:30:00,27.39044,425.9742,2012,1,2,8
2012-01-02 09:00:00,27.98178,556.999,2012,1,2,9
2012-01-02 09:30:00,28.84266,672.9499,2012,1,2,9
2012-01-02 10:00:00,29.94673,768.39,2012,1,2,10
2012-01-02 10:30:00,30.74231,850.0834,2012,1,2,10
2012-01-02 11:00:00,31.35734,898.8665,2012,1,2,11
2012-01-02 11:30:00,32.22235,963.8991,2012,1,2,11
2012-01-02 12:00:00,32.83615,1020.246,2012,1,2,12
2012-01-02 12:30:00,33.34488,1051.336,2012,1,2,12
2012-01-02 13:00:00,33.92865,1099.333,2012,1,2,13
2012-01-02 13:30:00,34.75561,1100.385,2012,1,2,13
2012-01-02 14:00:00,35.69109,1093.871,2012,1,2,14
2012-01-02 14:30:00,35.43587,1036.103,2012,1,2,14
2012-01-02 15:00:00,35.79792,962.0475,2012,1,2,15
2012-01-02 15:30:00,35.97072,885.4839,2012,1,2,15
2012-01-02 16:00:00,36.09282,790.5315,2012,1,2,16
2012-01-02 16:30:00,35.99368,682.3309,2012,1,2,16
2012-01-02 17:00:00,36.51778,553.7284,2012,1,2,17
2012-01-02 17:30:00,35.78163,311.054,2012,1,2,17
2012-01-02 18:00:00,35.38911,207.0625,2012,1,2,18
2012-01-02 18:30:00,33.8765,64.63092,2012,1,2,18
2012-01-02 19:00:00,32.25034,18.22507,2012,1,2,19
2012-01-02 19:30:00,30.02561,0.633384,2012,1,2,19
2012-01-02 20:00:00,29.09678,-2.328473,2012,1,2,20
2012-01-02 20:30:00,28.53504,-2.235144,2012,1,2,20
2012-01-02 21:00:00,28.1848,-2.167837,2012,1,2,21
2012-01-02 21:30:00,27.37605,-1.714369,2012,1,2,21
2012-01-02 22:00:00,27.18938,-1.120155,2012,1,2,22
2012-01-02 22:30:00,26.8034,-0.789512,2012,1,2,22
2012-01-02 23:00:00,26.71751,-1.865229,2012,1,2,23
2012-01-02 23:30:00,26.19751,-1.325405,2012,1,2,23
2012-01-03 00:00:00,26.0898,-1.309247,2012,1,3,0
2012-01-03 00:30:00,25.922,-0.9956868,2012,1,3,0
2012-01-03 01:00:00,25.63223,-1.180458,2012,1,3,1
2012-01-03 01:30:00,25.39191,-1.640092,2012,1,3,1
2012-01-03 02:00:00,25.10633,-1.422789,2012,1,3,2
2012-01-03 02:30:00,25.02994,-0.9293264,2012,1,3,2
2012-01-03 03:00:00,25.09346,-1.070842,2012,1,3,3
2012-01-03 03:30:00,24.84781,-1.093291,2012,1,3,3
2012-01-03 04:00:00,24.52072,-1.169998,2012,1,3,4
2012-01-03 04:30:00,24.75676,-1.35025,2012,1,3,4
2012-01-03 05:00:00,24.79709,-1.074791,2012,1,3,5
2012-01-03 05:30:00,24.40717,-1.402557,2012,1,3,5
2012-01-03 06:00:00,24.53518,-0.7402834,2012,1,3,6
2012-01-03 06:30:00,24.65151,6.808531,2012,1,3,6
2012-01-03 07:00:00,25.02431,60.51481,2012,1,3,7
2012-01-03 07:30:00,25.74803,111.6545,2012,1,3,7
2012-01-03 08:00:00,27.32709,271.1646,2012,1,3,8
2012-01-03 08:30:00,28.07155,415.2302,2012,1,3,8
2012-01-03 09:00:00,28.67136,428.1726,2012,1,3,9
2012-01-03 09:30:00,29.04964,495.8563,2012,1,3,9
2012-01-03 10:00:00,29.90069,568.9341,2012,1,3,10
2012-01-03 10:30:00,30.40951,855.1403,2012,1,3,10
2012-01-03 11:00:00,31.33584,979.1727,2012,1,3,11
2012-01-03 11:30:00,31.81063,984.2319,2012,1,3,11
2012-01-03 12:00:00,32.4002,1032.405,2012,1,3,12
2012-01-03 12:30:00,32.92576,1076.108,2012,1,3,12
2012-01-03 13:00:00,33.50537,1055.666,2012,1,3,13
2012-01-03 13:30:00,33.96718,1095.362,2012,1,3,13
2012-01-03 14:00:00,34.24116,1075.497,2012,1,3,14
2012-01-03 14:30:00,34.85116,1019.921,2012,1,3,14
2012-01-03 15:00:00,34.53382,473.0381,2012,1,3,15
2012-01-03 15:30:00,35.25249,808.1165,2012,1,3,15
2012-01-03 16:00:00,34.80692,604.8931,2012,1,3,16
2012-01-03 16:30:00,35.15226,677.9034,2012,1,3,16
2012-01-03 17:00:00,35.21075,565.7196,2012,1,3,17
2012-01-03 17:30:00,35.10198,453.9597,2012,1,3,17
2012-01-03 18:00:00,34.87626,313.3985,2012,1,3,18
2012-01-03 18:30:00,34.16447,139.2104,2012,1,3,18
2012-01-03 19:00:00,33.17075,31.35175,2012,1,3,19
2012-01-03 19:30:00,32.36857,0.8951552,2012,1,3,19
2012-01-03 20:00:00,31.75794,-1.840127,2012,1,3,20
2012-01-03 20:30:00,30.97772,-2.357322,2012,1,3,20
2012-01-03 21:00:00,30.51439,-1.622997,2012,1,3,21
2012-01-03 21:30:00,29.87104,-2.414539,2012,1,3,21
2012-01-03 22:00:00,29.22388,-1.792929,2012,1,3,22
2012-01-03 22:30:00,29.14635,-0.02640166,2012,1,3,22
2012-01-03 23:00:00,29.07231,-0.3420743,2012,1,3,23
2012-01-03 23:30:00,28.75501,-0.5128622,2012,1,3,23
2012-01-04 00:00:00,28.49317,-1.203672,2012,1,4,0
2012-01-04 00:30:00,27.92182,-0.6556781,2012,1,4,0
2012-01-04 01:00:00,28.23569,-0.1248026,2012,1,4,1
2012-01-04 01:30:00,29.29872,-0.1917472,2012,1,4,1
2012-01-04 02:00:00,29.05724,-1.26889,2012,1,4,2
2012-01-04 02:30:00,28.45527,-1.455741,2012,1,4,2
2012-01-04 03:00:00,27.95071,-1.488694,2012,1,4,3
2012-01-04 03:30:00,27.45364,-1.026391,2012,1,4,3
2012-01-04 04:00:00,27.14242,-1.005327,2012,1,4,4
2012-01-04 04:30:00,27.07773,-1.031055,2012,1,4,4
2012-01-04 05:00:00,26.89507,-1.495865,2012,1,4,5
2012-01-04 05:30:00,26.92378,-1.23084,2012,1,4,5
2012-01-04 06:00:00,26.69271,-1.478639,2012,1,4,6
2012-01-04 06:30:00,26.49724,5.292936,2012,1,4,6
2012-01-04 07:00:00,26.87819,51.61611,2012,1,4,7
2012-01-04 07:30:00,27.43803,134.1536,2012,1,4,7
2012-01-04 08:00:00,28.2362,300.4742,2012,1,4,8
2012-01-04 08:30:00,28.92398,399.5181,2012,1,4,8
2012-01-04 09:00:00,29.49249,489.9115,2012,1,4,9
2012-01-04 09:30:00,29.93665,571.2064,2012,1,4,9
2012-01-04 10:00:00,30.37296,739.0101,2012,1,4,10
2012-01-04 10:30:00,31.171,835.2246,2012,1,4,10
2012-01-04 11:00:00,32.10524,913.8527,2012,1,4,11
2012-01-04 11:30:00,32.50023,929.4974,2012,1,4,11
2012-01-04 12:00:00,33.01287,1004.957,2012,1,4,12
2012-01-04 12:30:00,33.37457,1037.323,2012,1,4,12
2012-01-04 13:00:00,33.90772,822.4553,2012,1,4,13
2012-01-04 13:30:00,34.01945,947.812,2012,1,4,13
2012-01-04 14:00:00,34.16186,957.5367,2012,1,4,14
2012-01-04 14:30:00,34.41999,888.9242,2012,1,4,14
2012-01-04 15:00:00,34.57221,825.2271,2012,1,4,15
2012-01-04 15:30:00,34.647,691.7131,2012,1,4,15
2012-01-04 16:00:00,34.8602,669.6721,2012,1,4,16
2012-01-04 16:30:00,34.83211,565.8865,2012,1,4,16
2012-01-04 17:00:00,34.72355,462.2828,2012,1,4,17
2012-01-04 17:30:00,34.52501,371.1367,2012,1,4,17
2012-01-04 18:00:00,34.20142,242.1999,2012,1,4,18
2012-01-04 18:30:00,33.82452,164.7242,2012,1,4,18
2012-01-04 19:00:00,32.83652,46.00027,2012,1,4,19
2012-01-04 19:30:00,31.75863,1.564025,2012,1,4,19
2012-01-04 20:00:00,31.20805,-2.18689,2012,1,4,20
2012-01-04 20:30:00,30.61498,-2.059239,2012,1,4,20
2012-01-04 21:00:00,30.05994,-2.515537,2012,1,4,21
2012-01-04 21:30:00,29.26125,-1.982499,2012,1,4,21
2012-01-04 22:00:00,29.01346,-2.062196,2012,1,4,22
2012-01-04 22:30:00,27.98853,-1.697273,2012,1,4,22
2012-01-04 23:00:00,27.49172,-1.821855,2012,1,4,23
2012-01-04 23:30:00,27.26712,-1.653209,2012,1,4,23
2012-01-05 00:00:00,26.66974,-1.751777,2012,1,5,0
2012-01-05 00:30:00,26.82427,-0.7345067,2012,1,5,0
2012-01-05 01:00:00,27.27732,-1.008576,2012,1,5,1
2012-01-05 01:30:00,27.34423,-1.536126,2012,1,5,1
2012-01-05 02:00:00,27.07809,-1.78267,2012,1,5,2
2012-01-05 02:30:00,25.90691,-2.280345,2012,1,5,2
2012-01-05 03:00:00,25.82151,-1.321189,2012,1,5,3
2012-01-05 03:30:00,26.65158,-0.688911,2012,1,5,3
2012-01-05 04:00:00,26.7865,-1.428465,2012,1,5,4
2012-01-05 04:30:00,26.22535,-1.980152,2012,1,5,4
2012-01-05 05:00:00,25.69004,-1.832168,2012,1,5,5
2012-01-05 05:30:00,25.66778,-0.9037122,2012,1,5,5
2012-01-05 06:00:00,25.95607,-0.9457753,2012,1,5,6
2012-01-05 06:30:00,25.70758,10.75922,2012,1,5,6
2012-01-05 07:00:00,26.10737,75.19624,2012,1,5,7
2012-01-05 07:30:00,27.29898,189.9163,2012,1,5,7
2012-01-05 08:00:00,28.21697,318.8277,2012,1,5,8
2012-01-05 08:30:00,29.0737,444.2958,2012,1,5,8
2012-01-05 09:00:00,30.11828,580.015,2012,1,5,9
2012-01-05 09:30:00,30.35263,688.6887,2012,1,5,9
2012-01-05 10:00:00,30.4938,765.6063,2012,1,5,10
2012-01-05 10:30:00,31.13778,900.4686,2012,1,5,10
2012-01-05 11:00:00,31.5778,840.7,2012,1,5,11
2012-01-05 11:30:00,32.55777,1076.088,2012,1,5,11
2012-01-05 12:00:00,32.83438,845.009,2012,1,5,12
2012-01-05 12:30:00,32.93211,739.8354,2012,1,5,12
2012-01-05 13:00:00,33.27485,925.4245,2012,1,5,13
2012-01-05 13:30:00,33.56337,860.225,2012,1,5,13
2012-01-05 14:00:00,33.83623,843.2253,2012,1,5,14
2012-01-05 14:30:00,33.9031,725.2275,2012,1,5,14
2012-01-05 15:00:00,33.84482,568.6722,2012,1,5,15
2012-01-05 15:30:00,33.91811,432.1138,2012,1,5,15
2012-01-05 16:00:00,34.00929,500.0761,2012,1,5,16
2012-01-05 16:30:00,34.10329,193.2918,2012,1,5,16
2012-01-05 17:00:00,33.43626,267.957,2012,1,5,17
2012-01-05 17:30:00,33.32425,196.4224,2012,1,5,17
2012-01-05 18:00:00,32.64877,119.9604,2012,1,5,18
2012-01-05 18:30:00,32.07677,79.46182,2012,1,5,18
2012-01-05 19:00:00,31.46076,36.76117,2012,1,5,19
2012-01-05 19:30:00,30.73944,1.994264,2012,1,5,19
2012-01-05 20:00:00,30.26468,-2.196158,2012,1,5,20
2012-01-05 20:30:00,29.64619,-2.218495,2012,1,5,20
2012-01-05 21:00:00,29.22808,-1.583725,2012,1,5,21
2012-01-05 21:30:00,28.96317,-1.727623,2012,1,5,21
2012-01-05 22:00:00,28.53612,-2.0276,2012,1,5,22
2012-01-05 22:30:00,28.43233,-1.175302,2012,1,5,22
2012-01-05 23:00:00,28.43948,-1.422402,2012,1,5,23
2012-01-05 23:30:00,28.00892,-2.044315,2012,1,5,23
2012-01-06 00:00:00,27.73469,-1.35863,2012,1,6,0
2012-01-06 00:30:00,27.35477,-1.778754,2012,1,6,0
2012-01-06 01:00:00,26.71348,-2.050222,2012,1,6,1
2012-01-06 01:30:00,25.88184,-2.056601,2012,1,6,1
2012-01-06 02:00:00,25.23293,-1.399572,2012,1,6,2
2012-01-06 02:30:00,25.37823,-1.081313,2012,1,6,2
2012-01-06 03:00:00,25.28062,-1.186235,2012,1,6,3
2012-01-06 03:30:00,25.43409,-1.18703,2012,1,6,3
2012-01-06 04:00:00,25.1895,-1.619236,2012,1,6,4
2012-01-06 04:30:00,24.45791,-1.904109,2012,1,6,4
2012-01-06 05:00:00,24.27182,-1.495648,2012,1,6,5
2012-01-06 05:30:00,23.78624,-1.78476,2012,1,6,5
2012-01-06 06:00:00,23.12076,-1.253343,2012,1,6,6
2012-01-06 06:30:00,23.38504,11.30916,2012,1,6,6
2012-01-06 07:00:00,24.4463,74.53547,2012,1,6,7
2012-01-06 07:30:00,26.37345,171.595,2012,1,6,7
2012-01-06 08:00:00,27.48975,287.4082,2012,1,6,8
2012-01-06 08:30:00,28.30485,407.911,2012,1,6,8
2012-01-06 09:00:00,29.10831,530.8589,2012,1,6,9
2012-01-06 09:30:00,30.09736,653.6078,2012,1,6,9
2012-01-06 10:00:00,30.8156,758.2499,2012,1,6,10
2012-01-06 10:30:00,31.40732,852.5563,2012,1,6,10
2012-01-06 11:00:00,32.10508,928.3367,2012,1,6,11
2012-01-06 11:30:00,32.4858,868.9446,2012,1,6,11
2012-01-06 12:00:00,32.99387,1039.502,2012,1,6,12
2012-01-06 12:30:00,33.66617,1031.993,2012,1,6,12
2012-01-06 13:00:00,33.86404,978.2308,2012,1,6,13
2012-01-06 13:30:00,33.71206,805.0137,2012,1,6,13
2012-01-06 14:00:00,34.46972,914.5767,2012,1,6,14
2012-01-06 14:30:00,34.46869,786.7016,2012,1,6,14
2012-01-06 15:00:00,35.13495,1018.323,2012,1,6,15
2012-01-06 15:30:00,35.84404,872.2571,2012,1,6,15
2012-01-06 16:00:00,35.45756,568.4145,2012,1,6,16
2012-01-06 16:30:00,35.81302,619.7823,2012,1,6,16
2012-01-06 17:00:00,35.47299,481.1915,2012,1,6,17
2012-01-06 17:30:00,35.80006,463.9763,2012,1,6,17
2012-01-06 18:00:00,35.40329,321.3088,2012,1,6,18
2012-01-06 18:30:00,34.87366,182.4682,2012,1,6,18
2012-01-06 19:00:00,33.62422,38.04205,2012,1,6,19
2012-01-06 19:30:00,32.39592,3.446946,2012,1,6,19
2012-01-06 20:00:00,31.40918,-3.0535,2012,1,6,20
2012-01-06 20:30:00,30.28353,-3.437242,2012,1,6,20
2012-01-06 21:00:00,29.80132,-1.291235,2012,1,6,21
2012-01-06 21:30:00,29.87324,-1.08859,2012,1,6,21
2012-01-06 22:00:00,29.42863,-1.516945,2012,1,6,22
2012-01-06 22:30:00,29.29962,-1.181163,2012,1,6,22
2012-01-06 23:00:00,28.8942,-1.442776,2012,1,6,23
2012-01-06 23:30:00,28.5836,-1.435792,2012,1,6,23
2012-01-07 00:00:00,28.27798,-1.63033,2012,1,7,0
2012-01-07 00:30:00,27.92421,-1.802575,2012,1,7,0
2012-01-07 01:00:00,27.4165,-1.629117,2012,1,7,1
2012-01-07 01:30:00,27.55434,-0.7108477,2012,1,7,1
2012-01-07 02:00:00,28.01464,-1.241585,2012,1,7,2
2012-01-07 02:30:00,27.70983,-1.567757,2012,1,7,2
2012-01-07 03:00:00,27.42761,-1.674469,2012,1,7,3
2012-01-07 03:30:00,27.04314,-1.836991,2012,1,7,3
2012-01-07 04:00:00,26.60848,-2.096906,2012,1,7,4
2012-01-07 04:30:00,26.03655,-1.914826,2012,1,7,4
2012-01-07 05:00:00,25.71589,-1.752619,2012,1,7,5
2012-01-07 05:30:00,25.30807,-1.706397,2012,1,7,5
2012-01-07 06:00:00,25.1222,-1.592872,2012,1,7,6
2012-01-07 06:30:00,24.79306,6.402316,2012,1,7,6
2012-01-07 07:00:00,25.0197,61.32899,2012,1,7,7
2012-01-07 07:30:00,26.87956,158.2817,2012,1,7,7
2012-01-07 08:00:00,27.30862,270.6552,2012,1,7,8
2012-01-07 08:30:00,27.80907,394.9576,2012,1,7,8
2012-01-07 09:00:00,28.43899,521.4576,2012,1,7,9
2012-01-07 09:30:00,29.69202,625.1369,2012,1,7,9
2012-01-07 10:00:00,30.26938,737.4813,2012,1,7,10
2012-01-07 10:30:00,30.98852,866.4849,2012,1,7,10
2012-01-07 11:00:00,31.66201,885.8704,2012,1,7,11
2012-01-07 11:30:00,32.2175,990.1899,2012,1,7,11
2012-01-07 12:00:00,33.00753,1063.911,2012,1,7,12
2012-01-07 12:30:00,33.16496,1000.255,2012,1,7,12
2012-01-07 13:00:00,33.67134,1106.182,2012,1,7,13
2012-01-07 13:30:00,34.35552,1066.407,2012,1,7,13
2012-01-07 14:00:00,34.79176,1053.46,2012,1,7,14
2012-01-07 14:30:00,34.90503,920.2223,2012,1,7,14
2012-01-07 15:00:00,35.2383,839.79,2012,1,7,15
2012-01-07 15:30:00,35.54874,807.8715,2012,1,7,15
2012-01-07 16:00:00,35.77916,713.4651,2012,1,7,16
2012-01-07 16:30:00,35.23156,436.1202,2012,1,7,16
2012-01-07 17:00:00,35.55982,497.3726,2012,1,7,17
2012-01-07 17:30:00,35.44754,326.472,2012,1,7,17
2012-01-07 18:00:00,35.38112,304.4731,2012,1,7,18
2012-01-07 18:30:00,34.95706,181.3323,2012,1,7,18
2012-01-07 19:00:00,33.93933,68.221,2012,1,7,19
2012-01-07 19:30:00,32.44337,4.118964,2012,1,7,19
2012-01-07 20:00:00,31.09562,-3.431228,2012,1,7,20
2012-01-07 20:30:00,30.09351,-2.764966,2012,1,7,20
2012-01-07 21:00:00,29.58213,-1.866581,2012,1,7,21
2012-01-07 21:30:00,29.9351,-1.245819,2012,1,7,21
2012-01-07 22:00:00,29.52368,-2.124433,2012,1,7,22
2012-01-07 22:30:00,29.08699,-1.628023,2012,1,7,22
2012-01-07 23:00:00,29.05463,-1.374995,2012,1,7,23
2012-01-07 23:30:00,29.14631,-1.308041,2012,1,7,23
2012-01-08 00:00:00,27.99293,-2.264831,2012,1,8,0
2012-01-08 00:30:00,26.91195,-2.24877,2012,1,8,0
2012-01-08 01:00:00,26.8872,-1.250301,2012,1,8,1
2012-01-08 01:30:00,27.60139,-1.002379,2012,1,8,1
2012-01-08 02:00:00,27.18546,-1.87036,2012,1,8,2
2012-01-08 02:30:00,26.7038,-2.133437,2012,1,8,2
2012-01-08 03:00:00,26.24953,-1.823097,2012,1,8,3
2012-01-08 03:30:00,25.50888,-2.529476,2012,1,8,3
2012-01-08 04:00:00,24.87453,-2.048608,2012,1,8,4
2012-01-08 04:30:00,25.00055,-1.30105,2012,1,8,4
2012-01-08 05:00:00,24.01931,-1.916114,2012,1,8,5
2012-01-08 05:30:00,23.31064,-1.576997,2012,1,8,5
2012-01-08 06:00:00,23.32519,-0.7947688,2012,1,8,6
2012-01-08 06:30:00,23.38826,7.43941,2012,1,8,6
2012-01-08 07:00:00,23.78417,51.85183,2012,1,8,7
2012-01-08 07:30:00,25.70115,127.9162,2012,1,8,7
2012-01-08 08:00:00,27.73611,254.3703,2012,1,8,8
2012-01-08 08:30:00,27.92131,388.7714,2012,1,8,8
2012-01-08 09:00:00,28.51774,513.4661,2012,1,8,9
2012-01-08 09:30:00,28.93426,517.9025,2012,1,8,9
2012-01-08 10:00:00,29.58076,660.9097,2012,1,8,10
2012-01-08 10:30:00,30.76111,876.4682,2012,1,8,10
2012-01-08 11:00:00,31.32234,638.4567,2012,1,8,11
2012-01-08 11:30:00,32.54084,1065.088,2012,1,8,11
2012-01-08 12:00:00,32.42237,741.0757,2012,1,8,12
2012-01-08 12:30:00,32.43002,701.3701,2012,1,8,12
2012-01-08 13:00:00,33.07,936.8372,2012,1,8,13
2012-01-08 13:30:00,33.74793,1075.081,2012,1,8,13
2012-01-08 14:00:00,33.9936,853.7823,2012,1,8,14
2012-01-08 14:30:00,34.304,810.2821,2012,1,8,14
2012-01-08 15:00:00,34.94892,953.4138,2012,1,8,15
2012-01-08 15:30:00,35.42162,903.2339,2012,1,8,15
2012-01-08 16:00:00,35.35007,751.4743,2012,1,8,16
2012-01-08 16:30:00,35.18395,591.0195,2012,1,8,16
2012-01-08 17:00:00,35.29038,574.2908,2012,1,8,17
2012-01-08 17:30:00,35.13294,416.7322,2012,1,8,17
2012-01-08 18:00:00,35.02792,309.2936,2012,1,8,18
2012-01-08 18:30:00,34.44289,186.9504,2012,1,8,18
2012-01-08 19:00:00,33.56512,72.03934,2012,1,8,19
2012-01-08 19:30:00,32.22994,5.928581,2012,1,8,19
2012-01-08 20:00:00,31.17276,-3.334549,2012,1,8,20
2012-01-08 20:30:00,30.0604,-3.172582,2012,1,8,20
2012-01-08 21:00:00,29.31015,-2.072483,2012,1,8,21
2012-01-08 21:30:00,29.03,-1.484296,2012,1,8,21
2012-01-08 22:00:00,28.6527,-1.579604,2012,1,8,22
2012-01-08 22:30:00,28.38128,-1.713776,2012,1,8,22
2012-01-08 23:00:00,28.23165,-1.338482,2012,1,8,23
2012-01-08 23:30:00,28.11016,-1.576238,2012,1,8,23
2012-01-09 00:00:00,27.28951,-1.889273,2012,1,9,0
2012-01-09 00:30:00,26.95712,-1.057905,2012,1,9,0
2012-01-09 01:00:00,26.78583,-0.3016249,2012,1,9,1
2012-01-09 01:30:00,26.56948,0.2351527,2012,1,9,1
2012-01-09 02:00:00,27.72377,-0.436323,2012,1,9,2
2012-01-09 02:30:00,27.75441,-1.617786,2012,1,9,2
2012-01-09 03:00:00,27.02432,-2.332031,2012,1,9,3
2012-01-09 03:30:00,26.27483,-2.36056,2012,1,9,3
2012-01-09 04:00:00,25.93555,-1.297065,2012,1,9,4
2012-01-09 04:30:00,25.73288,-1.32611,2012,1,9,4
2012-01-09 05:00:00,25.34557,-1.505372,2012,1,9,5
2012-01-09 05:30:00,25.24637,-1.08242,2012,1,9,5
2012-01-09 06:00:00,24.95211,-1.274754,2012,1,9,6
2012-01-09 06:30:00,25.01969,5.050024,2012,1,9,6
2012-01-09 07:00:00,25.40785,57.12685,2012,1,9,7
2012-01-09 07:30:00,26.52333,149.1171,2012,1,9,7
2012-01-09 08:00:00,27.73583,264.9128,2012,1,9,8
2012-01-09 08:30:00,28.50931,392.2527,2012,1,9,8
2012-01-09 09:00:00,29.01069,498.9288,2012,1,9,9
2012-01-09 09:30:00,29.45519,520.8146,2012,1,9,9
2012-01-09 10:00:00,29.96204,699.3931,2012,1,9,10
2012-01-09 10:30:00,30.3755,528.0146,2012,1,9,10
2012-01-09 11:00:00,31.05617,749.7982,2012,1,9,11
2012-01-09 11:30:00,31.99429,969.5969,2012,1,9,11
2012-01-09 12:00:00,32.49666,986.3755,2012,1,9,12
2012-01-09 12:30:00,33.15907,1081.573,2012,1,9,12
2012-01-09 13:00:00,33.5768,987.9105,2012,1,9,13
2012-01-09 13:30:00,34.37802,990.7835,2012,1,9,13
2012-01-09 14:00:00,34.42014,732.9503,2012,1,9,14
2012-01-09 14:30:00,34.7941,818.4454,2012,1,9,14
2012-01-09 15:00:00,35.31309,845.9665,2012,1,9,15
2012-01-09 15:30:00,35.49306,654.0147,2012,1,9,15
2012-01-09 16:00:00,35.84348,815.4294,2012,1,9,16
2012-01-09 16:30:00,36.3384,688.7182,2012,1,9,16
2012-01-09 17:00:00,36.29283,568.2275,2012,1,9,17
2012-01-09 17:30:00,35.96053,447.1327,2012,1,9,17
2012-01-09 18:00:00,35.6729,310.748,2012,1,9,18
2012-01-09 18:30:00,35.32014,183.7511,2012,1,9,18
2012-01-09 19:00:00,34.48383,71.45561,2012,1,9,19
2012-01-09 19:30:00,33.00638,4.238296,2012,1,9,19
2012-01-09 20:00:00,32.03722,-2.715447,2012,1,9,20
2012-01-09 20:30:00,31.33022,-2.374741,2012,1,9,20
2012-01-09 21:00:00,30.28993,-2.271427,2012,1,9,21
2012-01-09 21:30:00,29.90114,-1.84552,2012,1,9,21
2012-01-09 22:00:00,29.42911,-1.774054,2012,1,9,22
2012-01-09 22:30:00,29.04532,-1.758818,2012,1,9,22
