"date","Tair","SW","year","month","day","hour"
2015-01-01 00:30:00,21.53498,-4.019335,2015,1,1,0
2015-01-01 00:59:59,20.74526,-3.840015,2015,1,1,0
2015-01-01 01:30:00,20.08897,-3.739897,2015,1,1,1
2015-01-01 02:00:00,19.43168,-3.648405,2015,1,1,2
2015-01-01 02:29:59,18.68022,-3.629412,2015,1,1,2
2015-01-01 03:00:00,18.05469,-3.719316,2015,1,1,3
2015-01-01 03:30:00,17.53466,-3.484652,2015,1,1,3
2015-01-01 03:59:59,17.18849,-3.519056,2015,1,1,3
2015-01-01 04:30:00,16.84344,-3.552066,2015,1,1,4
2015-01-01 05:00:00,16.55458,-2.368934,2015,1,1,5
2015-01-01 05:29:59,16.43176,17.85086,2015,1,1,5
2015-01-01 06:00:00,16.71901,107.5701,2015,1,1,6
2015-01-01 06:30:00,17.18091,150.3439,2015,1,1,6
2015-01-01 06:59:59,17.5921,324.5342,2015,1,1,6
2015-01-01 07:30:00,18.45065,176.3565,2015,1,1,7
2015-01-01 08:00:00,19.38894,526.4701,2015,1,1,8
2015-01-01 08:29:59,20.18447,681.59,2015,1,1,8
2015-01-01 09:00:00,21.34051,780.7944,2015,1,1,9
2015-01-01 09:30:00,22.4931,866.6896,2015,1,1,9
2015-01-01 09:59:59,23.90464,879.4923,2015,1,1,9
2015-01-01 10:30:00,25.31834,999.2368,2015,1,1,10
2015-01-01 11:00:00,26.89103,1043.339,2015,1,1,11
2015-01-01 11:29:59,28.01085,1067.852,2015,1,1,11
2015-01-01 12:00:00,29.10397,1078.187,2015,1,1,12
2015-01-01 12:30:00,30.66299,1071.08,2015,1,1,12
2015-01-01 12:59:59,31.58934,1052.439,2015,1,1,12
2015-01-01 13:30:00,32.53149,1016.241,2015,1,1,13
2015-01-01 14:00:00,33.48248,969.3729,2015,1,1,14
2015-01-01 14:29:59,34.25991,908.4265,2015,1,1,14
2015-01-01 15:00:00,35.00868,831.6683,2015,1,1,15
2015-01-01 15:30:00,35.85389,740.8784,2015,1,1,15
2015-01-01 15:59:59,36.302,642.3735,2015,1,1,15
2015-01-01 16:30:00,36.76813,537.8163,2015,1,1,16
2015-01-01 17:00:00,36.97238,420.9655,2015,1,1,17
2015-01-01 17:29:59,37.14899,310.3411,2015,1,1,17
2015-01-01 18:00:00,37.04457,200.6841,2015,1,1,18
2015-01-01 18:30:00,37.07098,100.226,2015,1,1,18
2015-01-01 18:59:59,36.53709,25.92511,2015,1,1,18
2015-01-01 19:30:00,35.59682,-4.04975,2015,1,1,19
2015-01-01 20:00:00,34.77682,-6.211316,2015,1,1,20
2015-01-01 20:29:59,33.60422,-5.655177,2015,1,1,20
2015-01-01 21:00:00,33.10989,-5.576853,2015,1,1,21
2015-01-01 21:30:00,32.59647,-5.312953,2015,1,1,21
2015-01-01 21:59:59,31.78423,-5.635813,2015,1,1,21
2015-01-01 22:30:00,30.69106,-5.396819,2015,1,1,22
2015-01-01 23:00:00,29.91204,-5.518584,2015,1,1,23
2015-01-01 23:29:59,29.20008,-5.183325,2015,1,1,23
2015-01-02 00:00:00,28.58451,-4.937316,2015,1,2,0
2015-01-02 00:30:00,28.07777,-4.524851,2015,1,2,0
2015-01-02 00:59:59,27.56771,-4.300588,2015,1,2,0
2015-01-02 01:30:00,27.14388,-4.637675,2015,1,2,1
2015-01-02 02:00:00,26.65991,-4.320005,2015,1,2,2
2015-01-02 02:29:59,26.03545,-4.027724,2015,1,2,2
2015-01-02 03:00:00,25.3858,-3.98501,2015,1,2,3
2015-01-02 03:30:00,24.88894,-3.69387,2015,1,2,3
2015-01-02 03:59:59,24.36428,-4.060545,2015,1,2,3
2015-01-02 04:30:00,23.52421,-4.146054,2015,1,2,4
2015-01-02 05:00:00,22.7988,-2.436141,2015,1,2,5
2015-01-02 05:29:59,22.48713,13.00599,2015,1,2,5
2015-01-02 06:00:00,22.5125,55.94327,2015,1,2,6
2015-01-02 06:30:00,22.68898,104.9984,2015,1,2,6
2015-01-02 06:59:59,23.03254,213.6029,2015,1,2,6
2015-01-02 07:30:00,23.64235,185.5689,2015,1,2,7
2015-01-02 08:00:00,24.5664,508.9396,2015,1,2,8
2015-01-02 08:29:59,25.00169,541.8183,2015,1,2,8
2015-01-02 09:00:00,25.8084,621.8636,2015,1,2,9
2015-01-02 09:30:00,26.58457,800.4329,2015,1,2,9
2015-01-02 09:59:59,27.6096,872.2023,2015,1,2,9
2015-01-02 10:30:00,28.72098,851.4641,2015,1,2,10
2015-01-02 11:00:00,29.79541,891.7988,2015,1,2,11
2015-01-02 11:29:59,30.02726,966.2699,2015,1,2,11
2015-01-02 12:00:00,30.99004,1049.434,2015,1,2,12
2015-01-02 12:30:00,32.16826,1070.799,2015,1,2,12
2015-01-02 12:59:59,33.33958,1043.149,2015,1,2,12
2015-01-02 13:30:00,34.19365,930.5278,2015,1,2,13
2015-01-02 14:00:00,34.89434,886.625,2015,1,2,14
2015-01-02 14:29:59,34.98427,578.964,2015,1,2,14
2015-01-02 15:00:00,35.56425,753.3147,2015,1,2,15
2015-01-02 15:30:00,35.98666,601.2489,2015,1,2,15
2015-01-02 15:59:59,36.28297,337.4,2015,1,2,15
2015-01-02 16:30:00,36.00651,177.1033,2015,1,2,16
2015-01-02 17:00:00,35.80029,181.1342,2015,1,2,17
2015-01-02 17:29:59,34.41631,237.9141,2015,1,2,17
2015-01-02 18:00:00,33.82131,169.7765,2015,1,2,18
2015-01-02 18:30:00,30.40085,60.60789,2015,1,2,18
2015-01-02 18:59:59,28.07232,16.43865,2015,1,2,18
2015-01-02 19:30:00,27.63255,-1.965948,2015,1,2,19
2015-01-02 20:00:00,27.10354,-3.767329,2015,1,2,20
2015-01-02 20:29:59,27.33335,-3.601569,2015,1,2,20
2015-01-02 21:00:00,27.57521,-3.360352,2015,1,2,21
2015-01-02 21:30:00,28.09018,-3.163138,2015,1,2,21
2015-01-02 21:59:59,28.15783,-3.37853,2015,1,2,21
2015-01-02 22:30:00,27.67582,-3.780265,2015,1,2,22
2015-01-02 23:00:00,26.91059,-3.667293,2015,1,2,23
2015-01-02 23:29:59,25.82194,-3.778017,2015,1,2,23
2015-01-03 00:00:00,24.98323,-3.761495,2015,1,3,0
2015-01-03 00:30:00,24.3608,-3.781093,2015,1,3,0
2015-01-03 00:59:59,23.64876,-3.627436,2015,1,3,0
2015-01-03 01:30:00,22.6295,-3.581991,2015,1,3,1
2015-01-03 02:00:00,21.67941,-3.395551,2015,1,3,2
2015-01-03 02:29:59,20.71378,-3.518341,2015,1,3,2
2015-01-03 03:00:00,19.79986,-3.232611,2015,1,3,3
2015-01-03 03:30:00,19.28944,-3.072445,2015,1,3,3
2015-01-03 03:59:59,18.85398,-3.143513,2015,1,3,3
2015-01-03 04:30:00,18.52849,-3.175149,2015,1,3,4
2015-01-03 05:00:00,18.02577,-2.531982,2015,1,3,5
2015-01-03 05:29:59,17.6734,15.12361,2015,1,3,5
2015-01-03 06:00:00,17.54261,105.6527,2015,1,3,6
2015-01-03 06:30:00,17.73149,148.786,2015,1,3,6
2015-01-03 06:59:59,17.99102,310.1181,2015,1,3,6
2015-01-03 07:30:00,18.57374,168.5108,2015,1,3,7
2015-01-03 08:00:00,19.50679,535.3901,2015,1,3,8
2015-01-03 08:29:59,20.01782,682.9468,2015,1,3,8
2015-01-03 09:00:00,20.32572,783.1232,2015,1,3,9
2015-01-03 09:30:00,20.95271,870.6542,2015,1,3,9
2015-01-03 09:59:59,21.6659,886.071,2015,1,3,9
2015-01-03 10:30:00,22.21873,1006.26,2015,1,3,10
2015-01-03 11:00:00,23.30945,1051.213,2015,1,3,11
2015-01-03 11:29:59,23.88995,1078.591,2015,1,3,11
2015-01-03 12:00:00,24.85481,1091.157,2015,1,3,12
2015-01-03 12:30:00,25.47514,1090.732,2015,1,3,12
2015-01-03 12:59:59,26.60167,1073.038,2015,1,3,12
2015-01-03 13:30:00,27.13782,1038.298,2015,1,3,13
2015-01-03 14:00:00,27.99656,990.0622,2015,1,3,14
2015-01-03 14:29:59,28.92125,926.5618,2015,1,3,14
2015-01-03 15:00:00,29.5064,849.8649,2015,1,3,15
2015-01-03 15:30:00,30.16837,747.2621,2015,1,3,15
2015-01-03 15:59:59,30.47753,625.9273,2015,1,3,15
2015-01-03 16:30:00,30.60704,477.4479,2015,1,3,16
2015-01-03 17:00:00,30.54407,360.198,2015,1,3,17
2015-01-03 17:29:59,30.52637,295.5741,2015,1,3,17
2015-01-03 18:00:00,30.34245,116.593,2015,1,3,18
2015-01-03 18:30:00,30.12221,64.32831,2015,1,3,18
2015-01-03 18:59:59,29.79551,22.46255,2015,1,3,18
2015-01-03 19:30:00,29.4397,-1.820029,2015,1,3,19
2015-01-03 20:00:00,29.03788,-5.060699,2015,1,3,20
2015-01-03 20:29:59,28.5109,-5.053914,2015,1,3,20
2015-01-03 21:00:00,27.90954,-4.808072,2015,1,3,21
2015-01-03 21:30:00,27.5163,-4.696167,2015,1,3,21
2015-01-03 21:59:59,27.23858,-4.57638,2015,1,3,21
2015-01-03 22:30:00,26.90121,-4.723437,2015,1,3,22
2015-01-03 23:00:00,26.41254,-4.7195,2015,1,3,23
2015-01-03 23:29:59,25.93894,-4.60404,2015,1,3,23
2015-01-04 00:00:00,25.27648,-4.850478,2015,1,4,0
2015-01-04 00:30:00,24.59664,-4.430235,2015,1,4,0
2015-01-04 00:59:59,24.34506,-3.835988,2015,1,4,0
2015-01-04 01:30:00,24.68783,-3.646386,2015,1,4,1
2015-01-04 02:00:00,24.28006,-4.014271,2015,1,4,2
2015-01-04 02:29:59,23.63539,-4.150143,2015,1,4,2
2015-01-04 03:00:00,23.01111,-4.001765,2015,1,4,3
2015-01-04 03:30:00,22.09676,-3.98753,2015,1,4,3
2015-01-04 03:59:59,21.34258,-3.870787,2015,1,4,3
2015-01-04 04:30:00,20.75152,-3.94057,2015,1,4,4
2015-01-04 05:00:00,20.23757,-2.959413,2015,1,4,5
2015-01-04 05:29:59,19.72847,13.23651,2015,1,4,5
2015-01-04 06:00:00,19.58205,100.8829,2015,1,4,6
2015-01-04 06:30:00,19.74985,142.5489,2015,1,4,6
2015-01-04 06:59:59,20.04533,277.889,2015,1,4,6
2015-01-04 07:30:00,20.71501,194.1128,2015,1,4,7
2015-01-04 08:00:00,20.83752,311.3192,2015,1,4,8
2015-01-04 08:29:59,21.71449,466.6648,2015,1,4,8
2015-01-04 09:00:00,21.86733,289.065,2015,1,4,9
2015-01-04 09:30:00,23.32419,817.6964,2015,1,4,9
2015-01-04 09:59:59,24.54774,849.4972,2015,1,4,9
2015-01-04 10:30:00,25.84063,964.1683,2015,1,4,10
2015-01-04 11:00:00,27.09519,1011.016,2015,1,4,11
2015-01-04 11:29:59,28.15571,1037.727,2015,1,4,11
2015-01-04 12:00:00,29.02836,1022.615,2015,1,4,12
2015-01-04 12:30:00,30.03224,946.8849,2015,1,4,12
2015-01-04 12:59:59,30.88274,1040.724,2015,1,4,12
2015-01-04 13:30:00,31.68925,999.8154,2015,1,4,13
2015-01-04 14:00:00,32.21992,867.2095,2015,1,4,14
2015-01-04 14:29:59,32.89563,897.1712,2015,1,4,14
2015-01-04 15:00:00,33.43402,844.686,2015,1,4,15
2015-01-04 15:30:00,33.76604,763.5873,2015,1,4,15
2015-01-04 15:59:59,34.07302,548.0347,2015,1,4,15
2015-01-04 16:30:00,34.12774,507.9146,2015,1,4,16
2015-01-04 17:00:00,34.43791,397.3089,2015,1,4,17
2015-01-04 17:29:59,34.74783,326.8279,2015,1,4,17
2015-01-04 18:00:00,34.56963,192.7099,2015,1,4,18
2015-01-04 18:30:00,34.37172,112.2934,2015,1,4,18
2015-01-04 18:59:59,34.11481,28.86082,2015,1,4,18
2015-01-04 19:30:00,33.68256,-2.583311,2015,1,4,19
2015-01-04 20:00:00,33.18885,-5.227742,2015,1,4,20
2015-01-04 20:29:59,32.56913,-5.000154,2015,1,4,20
2015-01-04 21:00:00,32.11663,-4.805531,2015,1,4,21
2015-01-04 21:30:00,31.68191,-4.738559,2015,1,4,21
2015-01-04 21:59:59,31.31647,-4.699227,2015,1,4,21
2015-01-04 22:30:00,30.94901,-4.631821,2015,1,4,22
2015-01-04 23:00:00,30.48716,-4.569505,2015,1,4,23
2015-01-04 23:29:59,30.13922,-4.410163,2015,1,4,23
2015-01-05 00:00:00,29.69536,-4.38779,2015,1,5,0
2015-01-05 00:30:00,29.21778,-4.124696,2015,1,5,0
2015-01-05 00:59:59,28.6927,-4.268854,2015,1,5,0
2015-01-05 01:30:00,28.15236,-4.247095,2015,1,5,1
2015-01-05 02:00:00,27.59152,-4.046391,2015,1,5,2
2015-01-05 02:29:59,27.13872,-4.027634,2015,1,5,2
2015-01-05 03:00:00,26.67551,-4.104647,2015,1,5,3
2015-01-05 03:30:00,26.08609,-3.858617,2015,1,5,3
2015-01-05 03:59:59,25.68331,-3.782131,2015,1,5,3
2015-01-05 04:30:00,25.28885,-3.790458,2015,1,5,4
2015-01-05 05:00:00,24.7399,-3.136676,2015,1,5,5
2015-01-05 05:29:59,24.12003,10.65923,2015,1,5,5
2015-01-05 06:00:00,23.72031,89.2168,2015,1,5,6
2015-01-05 06:30:00,23.716,133.3279,2015,1,5,6
2015-01-05 06:59:59,23.98923,271.3125,2015,1,5,6
2015-01-05 07:30:00,24.86296,159.881,2015,1,5,7
2015-01-05 08:00:00,25.76563,511.5911,2015,1,5,8
2015-01-05 08:29:59,27.00912,641.7762,2015,1,5,8
2015-01-05 09:00:00,27.90572,740.6101,2015,1,5,9
2015-01-05 09:30:00,28.96373,827.232,2015,1,5,9
2015-01-05 09:59:59,30.07825,847.4948,2015,1,5,9
2015-01-05 10:30:00,31.04097,961.5162,2015,1,5,10
2015-01-05 11:00:00,32.31065,1004.983,2015,1,5,11
2015-01-05 11:29:59,32.8036,1034.866,2015,1,5,11
2015-01-05 12:00:00,33.69037,1055.493,2015,1,5,12
2015-01-05 12:30:00,34.28722,1053.095,2015,1,5,12
2015-01-05 12:59:59,34.91379,1030.389,2015,1,5,12
2015-01-05 13:30:00,35.58144,1005.515,2015,1,5,13
2015-01-05 14:00:00,35.79193,958.2664,2015,1,5,14
2015-01-05 14:29:59,36.66805,899.8869,2015,1,5,14
2015-01-05 15:00:00,36.91034,832.7568,2015,1,5,15
2015-01-05 15:30:00,37.20149,740.6199,2015,1,5,15
2015-01-05 15:59:59,37.33646,648.5379,2015,1,5,15
2015-01-05 16:30:00,37.4497,540.9911,2015,1,5,16
2015-01-05 17:00:00,37.65601,434.1598,2015,1,5,17
2015-01-05 17:29:59,37.41859,319.3676,2015,1,5,17
2015-01-05 18:00:00,37.3345,209.4646,2015,1,5,18
2015-01-05 18:30:00,37.15614,103.5395,2015,1,5,18
2015-01-05 18:59:59,36.55886,26.19919,2015,1,5,18
2015-01-05 19:30:00,35.84427,-4.155288,2015,1,5,19
2015-01-05 20:00:00,35.06693,-6.34268,2015,1,5,20
2015-01-05 20:29:59,34.35691,-6.186174,2015,1,5,20
2015-01-05 21:00:00,33.75961,-5.807387,2015,1,5,21
2015-01-05 21:30:00,33.32872,-5.541714,2015,1,5,21
2015-01-05 21:59:59,32.82068,-5.45653,2015,1,5,21
2015-01-05 22:30:00,32.17172,-5.580287,2015,1,5,22
2015-01-05 23:00:00,31.54209,-5.451457,2015,1,5,23
2015-01-05 23:29:59,30.89798,-5.537753,2015,1,5,23
2015-01-06 00:00:00,30.20198,-5.558004,2015,1,6,0
2015-01-06 00:30:00,29.44243,-5.589088,2015,1,6,0
2015-01-06 00:59:59,28.74936,-5.446613,2015,1,6,0
2015-01-06 01:30:00,28.004,-5.306227,2015,1,6,1
2015-01-06 02:00:00,27.36626,-5.218129,2015,1,6,2
2015-01-06 02:29:59,26.92699,-5.210733,2015,1,6,2
2015-01-06 03:00:00,26.26337,-5.169249,2015,1,6,3
2015-01-06 03:30:00,25.53456,-5.196684,2015,1,6,3
2015-01-06 03:59:59,24.88487,-4.841114,2015,1,6,3
2015-01-06 04:30:00,24.30282,-4.65734,2015,1,6,4
2015-01-06 05:00:00,23.71341,-4.481755,2015,1,6,5
2015-01-06 05:29:59,23.39366,9.049313,2015,1,6,5
2015-01-06 06:00:00,23.23476,106.4126,2015,1,6,6
2015-01-06 06:30:00,23.47151,146.0471,2015,1,6,6
2015-01-06 06:59:59,24.20541,291.636,2015,1,6,6
2015-01-06 07:30:00,25.46654,152.9481,2015,1,6,7
2015-01-06 08:00:00,26.23617,554.6638,2015,1,6,8
2015-01-06 08:29:59,27.28028,689.4227,2015,1,6,8
2015-01-06 09:00:00,28.61864,788.3759,2015,1,6,9
2015-01-06 09:30:00,29.80265,877.0674,2015,1,6,9
2015-01-06 09:59:59,30.9291,898.9874,2015,1,6,9
2015-01-06 10:30:00,31.99185,1014.539,2015,1,6,10
2015-01-06 11:00:00,32.54068,1059.944,2015,1,6,11
2015-01-06 11:29:59,33.28296,1088.204,2015,1,6,11
2015-01-06 12:00:00,33.95591,1104.026,2015,1,6,12
2015-01-06 12:30:00,34.52943,1104.554,2015,1,6,12
2015-01-06 12:59:59,35.36299,1084.162,2015,1,6,12
2015-01-06 13:30:00,36.04951,1048.514,2015,1,6,13
2015-01-06 14:00:00,36.38518,1001.892,2015,1,6,14
2015-01-06 14:29:59,36.64558,935.802,2015,1,6,14
2015-01-06 15:00:00,37.01371,860.7972,2015,1,6,15
2015-01-06 15:30:00,37.60785,771.7885,2015,1,6,15
2015-01-06 15:59:59,38.00638,672.6447,2015,1,6,15
2015-01-06 16:30:00,38.2297,567.7429,2015,1,6,16
2015-01-06 17:00:00,38.24522,449.8279,2015,1,6,17
2015-01-06 17:29:59,38.33263,334.2713,2015,1,6,17
2015-01-06 18:00:00,38.33294,217.3656,2015,1,6,18
2015-01-06 18:30:00,38.22829,109.8864,2015,1,6,18
2015-01-06 18:59:59,37.91717,27.36911,2015,1,6,18
2015-01-06 19:30:00,37.17952,-6.226939,2015,1,6,19
2015-01-06 20:00:00,36.31261,-7.41782,2015,1,6,20
2015-01-06 20:29:59,35.39664,-7.879694,2015,1,6,20
2015-01-06 21:00:00,34.20996,-7.325218,2015,1,6,21
2015-01-06 21:30:00,33.28726,-7.066842,2015,1,6,21
2015-01-06 21:59:59,32.81059,-5.940793,2015,1,6,21
2015-01-06 22:30:00,31.77995,-5.377961,2015,1,6,22
2015-01-06 23:00:00,31.31109,-4.966213,2015,1,6,23
2015-01-06 23:29:59,31.05197,-4.699386,2015,1,6,23
2015-01-07 00:00:00,30.6854,-4.709301,2015,1,7,0
2015-01-07 00:30:00,30.09245,-4.696193,2015,1,7,0
2015-01-07 00:59:59,29.17916,-4.759239,2015,1,7,0
2015-01-07 01:30:00,28.95381,-4.246551,2015,1,7,1
2015-01-07 02:00:00,28.71498,-4.703155,2015,1,7,2
2015-01-07 02:29:59,28.34643,-4.281103,2015,1,7,2
2015-01-07 03:00:00,28.53404,-3.354683,2015,1,7,3
2015-01-07 03:30:00,28.51969,-4.448967,2015,1,7,3
2015-01-07 03:59:59,27.71643,-4.755539,2015,1,7,3
2015-01-07 04:30:00,27.38394,-4.165297,2015,1,7,4
2015-01-07 05:00:00,25.46246,-4.157606,2015,1,7,5
2015-01-07 05:29:59,24.90734,9.847769,2015,1,7,5
2015-01-07 06:00:00,25.60035,94.01911,2015,1,7,6
2015-01-07 06:30:00,26.30186,138.5619,2015,1,7,6
2015-01-07 06:59:59,27.04813,263.068,2015,1,7,6
2015-01-07 07:30:00,28.20654,156.1599,2015,1,7,7
2015-01-07 08:00:00,29.09104,521.2059,2015,1,7,8
2015-01-07 08:29:59,30.19971,647.4623,2015,1,7,8
2015-01-07 09:00:00,31.22255,746.4439,2015,1,7,9
2015-01-07 09:30:00,32.29245,835.2491,2015,1,7,9
2015-01-07 09:59:59,33.43389,869.0757,2015,1,7,9
2015-01-07 10:30:00,34.76933,968.5327,2015,1,7,10
2015-01-07 11:00:00,35.40406,1013.493,2015,1,7,11
2015-01-07 11:29:59,35.42853,1045.828,2015,1,7,11
2015-01-07 12:00:00,35.96054,1056.124,2015,1,7,12
2015-01-07 12:30:00,36.65333,1057.893,2015,1,7,12
2015-01-07 12:59:59,37.23175,1032.986,2015,1,7,12
2015-01-07 13:30:00,37.19494,1007.316,2015,1,7,13
2015-01-07 14:00:00,37.79375,960.4625,2015,1,7,14
2015-01-07 14:29:59,37.91374,902.4031,2015,1,7,14
2015-01-07 15:00:00,38.19212,838.1772,2015,1,7,15
2015-01-07 15:30:00,38.29752,757.575,2015,1,7,15
2015-01-07 15:59:59,38.0494,429.0947,2015,1,7,15
2015-01-07 16:30:00,38.10432,414.0383,2015,1,7,16
2015-01-07 17:00:00,37.87843,317.131,2015,1,7,17
2015-01-07 17:29:59,38.21578,289.9723,2015,1,7,17
2015-01-07 18:00:00,36.89722,145.2037,2015,1,7,18
2015-01-07 18:30:00,34.63539,109.5927,2015,1,7,18
2015-01-07 18:59:59,33.05384,28.58928,2015,1,7,18
2015-01-07 19:30:00,31.52886,1.104924,2015,1,7,19
2015-01-07 20:00:00,29.5049,-2.64984,2015,1,7,20
2015-01-07 20:29:59,28.00035,-2.372549,2015,1,7,20
2015-01-07 21:00:00,26.79503,-2.369499,2015,1,7,21
2015-01-07 21:30:00,25.1826,-2.426722,2015,1,7,21
2015-01-07 21:59:59,24.00201,-2.279693,2015,1,7,21
2015-01-07 22:30:00,22.91143,-2.691717,2015,1,7,22
2015-01-07 23:00:00,21.61142,-2.624084,2015,1,7,23
2015-01-07 23:29:59,20.86162,-2.845732,2015,1,7,23
2015-01-08 00:00:00,19.87097,-2.318662,2015,1,8,0
2015-01-08 00:30:00,19.40944,-2.38815,2015,1,8,0
2015-01-08 00:59:59,18.83229,-2.369039,2015,1,8,0
2015-01-08 01:30:00,18.45706,-2.281871,2015,1,8,1
2015-01-08 02:00:00,18.37237,-2.779004,2015,1,8,2
2015-01-08 02:29:59,17.98444,-1.835443,2015,1,8,2
2015-01-08 03:00:00,17.75784,-1.527748,2015,1,8,3
2015-01-08 03:30:00,17.02688,-0.8007519,2015,1,8,3
2015-01-08 03:59:59,16.32255,-0.6011181,2015,1,8,3
2015-01-08 04:30:00,16.06166,-0.5857188,2015,1,8,4
2015-01-08 05:00:00,15.88281,-0.4362146,2015,1,8,5
2015-01-08 05:29:59,15.93544,6.100477,2015,1,8,5
2015-01-08 06:00:00,15.99184,24.50978,2015,1,8,6
2015-01-08 06:30:00,16.0256,61.22963,2015,1,8,6
2015-01-08 06:59:59,16.35219,147.3274,2015,1,8,6
2015-01-08 07:30:00,16.77734,226.8831,2015,1,8,7
2015-01-08 08:00:00,17.33772,424.4392,2015,1,8,8
2015-01-08 08:29:59,17.74986,564.7437,2015,1,8,8
2015-01-08 09:00:00,18.71421,738.9964,2015,1,8,9
2015-01-08 09:30:00,19.4418,845.5659,2015,1,8,9
2015-01-08 09:59:59,20.1778,889.3749,2015,1,8,9
2015-01-08 10:30:00,21.50566,981.9193,2015,1,8,10
2015-01-08 11:00:00,22.15806,1028.231,2015,1,8,11
2015-01-08 11:29:59,22.81002,1058.044,2015,1,8,11
2015-01-08 12:00:00,23.88442,1073.917,2015,1,8,12
2015-01-08 12:30:00,24.59626,1073.264,2015,1,8,12
2015-01-08 12:59:59,25.14346,1057.45,2015,1,8,12
2015-01-08 13:30:00,25.83129,1025.719,2015,1,8,13
2015-01-08 14:00:00,26.51598,979.519,2015,1,8,14
2015-01-08 14:29:59,26.79707,918.0914,2015,1,8,14
2015-01-08 15:00:00,27.51132,844.4594,2015,1,8,15
2015-01-08 15:30:00,28.05174,756.5127,2015,1,8,15
2015-01-08 15:59:59,28.30307,657.5961,2015,1,8,15
2015-01-08 16:30:00,28.6081,550.1269,2015,1,8,16
2015-01-08 17:00:00,28.46858,436.728,2015,1,8,17
2015-01-08 17:29:59,28.50149,322.6738,2015,1,8,17
2015-01-08 18:00:00,28.37967,209.2582,2015,1,8,18
2015-01-08 18:30:00,27.93839,107.5221,2015,1,8,18
2015-01-08 18:59:59,27.42699,29.56598,2015,1,8,18
2015-01-08 19:30:00,26.78993,-1.666317,2015,1,8,19
2015-01-08 20:00:00,26.18213,-4.068877,2015,1,8,20
2015-01-08 20:29:59,25.6143,-3.989748,2015,1,8,20
2015-01-08 21:00:00,25.10551,-3.837052,2015,1,8,21
2015-01-08 21:30:00,24.78426,-3.828306,2015,1,8,21
2015-01-08 21:59:59,24.38576,-3.954053,2015,1,8,21
2015-01-08 22:30:00,23.66169,-3.995475,2015,1,8,22
2015-01-08 23:00:00,22.54831,-3.823096,2015,1,8,23
2015-01-08 23:29:59,21.59987,-3.817942,2015,1,8,23
2015-01-09 00:00:00,20.80522,-3.58531,2015,1,9,0
2015-01-09 00:30:00,20.05188,-3.871027,2015,1,9,0
2015-01-09 00:59:59,18.98418,-3.552624,2015,1,9,0
2015-01-09 01:30:00,18.02132,-3.299532,2015,1,9,1
2015-01-09 02:00:00,16.75685,-3.095433,2015,1,9,2
2015-01-09 02:29:59,15.99145,-3.239704,2015,1,9,2
2015-01-09 03:00:00,15.53495,-3.364928,2015,1,9,3
2015-01-09 03:30:00,15.05912,-3.160544,2015,1,9,3
2015-01-09 03:59:59,14.66113,-3.528246,2015,1,9,3
2015-01-09 04:30:00,14.31106,-2.811637,2015,1,9,4
2015-01-09 05:00:00,14.22233,-1.938014,2015,1,9,5
2015-01-09 05:29:59,14.24336,7.475059,2015,1,9,5
2015-01-09 06:00:00,14.43207,39.2957,2015,1,9,6
2015-01-09 06:30:00,14.7565,87.18224,2015,1,9,6
2015-01-09 06:59:59,15.18402,136.6795,2015,1,9,6
2015-01-09 07:30:00,15.15658,167.5501,2015,1,9,7
2015-01-09 08:00:00,15.24355,356.0477,2015,1,9,8
2015-01-09 08:29:59,15.68355,684.312,2015,1,9,8
2015-01-09 09:00:00,16.29265,789.3986,2015,1,9,9
2015-01-09 09:30:00,16.99995,880.6766,2015,1,9,9
2015-01-09 09:59:59,17.5237,943.3242,2015,1,9,9
2015-01-09 10:30:00,18.39999,1028.37,2015,1,9,10
2015-01-09 11:00:00,18.92064,1077.636,2015,1,9,11
2015-01-09 11:29:59,18.98914,1107.234,2015,1,9,11
2015-01-09 12:00:00,19.25195,1121.852,2015,1,9,12
2015-01-09 12:30:00,19.69281,1120.994,2015,1,9,12
2015-01-09 12:59:59,20.34368,1103.125,2015,1,9,12
2015-01-09 13:30:00,20.96264,1068.506,2015,1,9,13
2015-01-09 14:00:00,21.71126,1019.023,2015,1,9,14
2015-01-09 14:29:59,22.27701,956.9246,2015,1,9,14
2015-01-09 15:00:00,22.75388,880.2004,2015,1,9,15
2015-01-09 15:30:00,23.35399,791.418,2015,1,9,15
2015-01-09 15:59:59,23.65554,690.9788,2015,1,9,15
2015-01-09 16:30:00,23.82266,581.439,2015,1,9,16
2015-01-09 17:00:00,23.85812,465.5246,2015,1,9,17
2015-01-09 17:29:59,23.65755,344.3538,2015,1,9,17
2015-01-09 18:00:00,23.57725,226.8776,2015,1,9,18
2015-01-09 18:30:00,23.02173,107.7762,2015,1,9,18
2015-01-09 18:59:59,22.45931,27.13985,2015,1,9,18
2015-01-09 19:30:00,21.94464,-1.883658,2015,1,9,19
2015-01-09 20:00:00,21.58353,-4.723331,2015,1,9,20
2015-01-09 20:29:59,21.19588,-4.747152,2015,1,9,20
2015-01-09 21:00:00,20.65688,-4.426672,2015,1,9,21
2015-01-09 21:30:00,20.17418,-4.487914,2015,1,9,21
2015-01-09 21:59:59,19.7494,-4.19598,2015,1,9,21
2015-01-09 22:30:00,19.35839,-4.29595,2015,1,9,22
2015-01-09 23:00:00,19.12689,-4.375418,2015,1,9,23
2015-01-09 23:29:59,18.82752,-4.151779,2015,1,9,23
2015-01-10 00:00:00,18.60165,-2.333438,2015,1,10,0
